Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
WILSONS-PROMONTORY-LIGHTHOUSE,85096,-39.13,146.42,January,21.14,Summer
WITTENOOM,5026,-22.24,118.34,January,42.61,Summer
WOOMERA-AERODROME,16001,-31.16,136.81,January,35.34,Summer
WYALONG-POST-OFFICE,73054,-33.93,147.24,January,34.6,Summer
YAMBA-PILOT-STATION,58012,-29.43,153.36,January,29.42,Summer
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,January,30.36,Summer
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,January,25.58,Summer
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,January,38.24,Summer
AMBERLEY-AMO,40004,-27.63,152.71,January,32.91,Summer
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,January,39.23,Summer
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,January,29.97,Summer
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,January,41.14,Summer
BOULIA-AIRPORT,38003,-22.91,139.9,January,39.43,Summer
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,January,39.76,Summer
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,January,30.5,Summer
BRISBANE-AERO,40842,-27.39,153.12,January,30.48,Summer
BROOME-AIRPORT,3003,-17.95,122.23,January,36.63,Summer
BUNDABERG-AERO,39128,-24.91,152.32,January,31.13,Summer
BURKETOWN-AIRPORT,29077,-17.75,139.54,January,35.32,Summer
BUTLERS-GORGE,96003,-42.28,146.28,January,19.25,Summer
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,January,23.9,Summer
CAIRNS-AERO,31011,-16.87,145.75,January,33.13,Summer
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,January,38.83,Summer
CANBERRA-AIRPORT,70351,-35.31,149.2,January,29.91,Summer
CAPE-BORDA,22823,-35.75,136.6,January,24.34,Summer
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,January,19.67,Summer
CAPE-LEEUWIN,9518,-34.37,115.14,January,26.08,Summer
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,January,28.97,Summer
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,January,20.9,Summer
CARNARVON-AIRPORT,6011,-24.89,113.67,January,32.62,Summer
CEDUNA-AMO,18012,-32.13,133.7,January,30.39,Summer
CHARLEVILLE-AERO,44021,-26.41,146.26,January,38.86,Summer
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,January,35.41,Summer
COBAR-MO,48027,-31.48,145.83,January,36.03,Summer
COFFS-HARBOUR-MO,59040,-30.31,153.12,January,30.81,Summer
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,January,37.5,Summer
DALWALLINU-COMPARISON,8039,-30.28,116.66,January,37.41,Summer
DARWIN-AIRPORT,14015,-12.42,130.89,January,33.92,Summer
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,January,35.05,Summer
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,January,33.43,Summer
EAST-SALE-AIRPORT,85072,-38.12,147.13,January,26.08,Summer
ESPERANCE,9789,-33.83,121.89,January,27.85,Summer
EUCLA,11003,-31.68,128.88,January,27.76,Summer
FORREST,11052,-30.85,128.11,January,35.07,Summer
GABO-ISLAND-LIGHTHOUSE,84016,-37.57,149.92,January,22.45,Summer
GAYNDAH-AIRPORT,39066,-25.62,151.62,January,36.08,Summer
GEORGETOWN-AIRPORT,30124,-18.3,143.53,January,35.14,Summer
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,January,34.91,Summer
GILES-METEOROLOGICAL-OFFICE,13017,-25.03,128.3,January,39.59,Summer
GROVE-RESEARCH-STATION,94220,-42.99,147.07,January,23.7,Summer
GUNNEDAH-RESOURCE-CENTRE,55024,-31.03,150.27,January,35.0,Summer
HALLS-CREEK-AIRPORT,2012,-18.23,127.66,January,41.52,Summer
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,January,24.14,Summer
